city,state,latitude,longitude
CONCORD,AL,33.461988,-87.040429
COOSADA,AL,32.495394,-86.326543
CORDOVA,AL,33.761788,-87.199416
COTTONDALE,AL,33.193047,-87.454861
COTTONWOOD,AL,31.054033,-85.29956
COUNTY LINE,AL,33.818902,-86.714706
COURTLAND,AL,34.669946,-87.327892
COWARTS,AL,31.206248,-85.309769
CREOLA,AL,30.874249,-88.009537
CROSSVILLE,AL,34.282697,-85.999737
CUBA,AL,32.440733,-88.374798
CULLMAN,AL,34.17687,-86.840656
CULLOMBURG,AL,31.713061,-88.291774
CUSSETA,AL,32.787637,-85.305769
DADEVILLE,AL,32.826114,-85.776201
DALEVILLE,AL,31.291534,-85.711711
DAPHNE,AL,30.623922,-87.878482
DAUPHIN ISLAND,AL,30.250913,-88.171268
DAVISTON,AL,33.056839,-85.634329
DAYTON,AL,32.350958,-87.641573
DEATSVILLE,AL,32.589044,-86.389059
DECATUR,AL,34.572995,-86.989901
DEER PARK,AL,31.218369,-88.328023
DELTA,AL,33.440524,-85.675905
DEMOPOLIS,AL,32.499744,-87.826678
DETROIT,AL,34.027379,-88.167831
DODGE CITY,AL,34.043275,-86.885524
DORA,AL,33.728116,-87.081292
DOTHAN,AL,31.233698,-85.406823
DOUBLE SPRINGS,AL,34.149648,-87.389447
DOUGLAS,AL,34.168258,-86.323386
DOZIER,AL,31.505407,-86.369235
DUNNAVANT,AL,33.495171,-86.540245
DUTTON,AL,34.606152,-85.91185
EAGLE POINT,AL,33.400912,-86.676753
EAST BREWTON,AL,31.09144,-87.055345
EAST POINT,AL,34.19121,-86.792253
ECLECTIC,AL,32.640222,-86.041062
EDGEWATER,AL,33.530099,-86.95279
EDWARDSVILLE,AL,33.88374,-85.414124
EGYPT,AL,34.075938,-86.165054
ELBA,AL,31.417218,-86.077115
ELBERTA,AL,30.373753,-87.595729
ELDRIDGE,AL,33.923053,-87.622869
ELKMONT,AL,34.932604,-86.976971
ELMORE,AL,32.556606,-86.341025
EMELLE,AL,32.728678,-88.316486
EMERALD MOUNTAIN,AL,32.447694,-86.094381
ENTERPRISE,AL,31.325529,-85.846071
EPES,AL,32.695049,-88.141963
EQUALITY,AL,32.765659,-86.123185
ETHELSVILLE,AL,33.414066,-88.216093
EUFAULA,AL,31.909937,-85.152709
EUNOLA,AL,31.031391,-85.833966
EUTAW,AL,32.846247,-87.900332
EVA,AL,34.326504,-86.765318
EVERGREEN,AL,31.433216,-86.976081
EXCEL,AL,31.426386,-87.343663
FAIRFIELD,AL,33.474802,-86.919407
